Supplier_Name,Part_Number,Price_USD,PO_Number,PO_Created_Date,Original_Promise_Date,Supplier_Delivered_Date,Delivery_Speed_Days,Delay_Days,On_Time_Delivery,Year
Supplier B,PART-0040,109.72,PO-402650,2024-08-25,2024-08-28,2024-08-24,-1,-4,1,2024
Supplier A,PART-0043,212.55,PO-402651,2025-01-08,2025-02-02,2025-02-08,31,6,0,2025
Supplier A,PART-0051,219.84,PO-402652,2025-11-23,2025-12-18,2025-12-20,27,2,0,2025
Supplier B,PART-0043,55.94,PO-402653,2024-06-23,2024-06-29,2024-06-26,3,-3,1,2024
Supplier A,PART-0035,237.28,PO-402654,2024-06-30,2024-07-15,2024-07-19,19,4,0,2024
Supplier C,PART-0028,384.03,PO-402655,2024-06-01,2024-06-17,2024-07-02,31,15,0,2024
Supplier B,PART-0069,333.26,PO-402656,2025-05-18,2025-06-07,2025-06-12,25,5,0,2025
Supplier A,PART-0083,228.98,PO-402657,2025-05-12,2025-05-28,2025-06-10,29,13,0,2025
Supplier C,PART-0012,263.21,PO-402658,2025-03-21,2025-04-07,2025-04-08,18,1,0,2025
Supplier C,PART-0046,249.36,PO-402659,2025-08-06,2025-08-23,2025-08-25,19,2,0,2025
Supplier C,PART-0071,90.86,PO-402660,2025-02-05,2025-02-11,2025-02-08,3,-3,1,2025
Supplier B,PART-0076,362.46,PO-402661,2024-03-07,2024-03-31,2024-04-10,34,10,0,2024
Supplier B,PART-0041,122.2,PO-402662,2024-01-23,2024-01-30,2024-01-30,7,0,1,2024
Supplier C,PART-0067,112.59,PO-402663,2025-02-26,2025-03-03,2025-02-28,2,-3,1,2025
Supplier A,PART-0096,396.26,PO-402664,2025-07-13,2025-07-24,2025-07-29,16,5,0,2025
Supplier C,PART-0004,187.37,PO-402665,2024-11-03,2024-11-13,2024-11-28,25,15,0,2024
Supplier B,PART-0038,126.59,PO-402666,2024-08-14,2024-08-18,2024-08-16,2,-2,1,2024
Supplier B,PART-0089,318.73,PO-402667,2024-07-17,2024-08-10,2024-08-16,30,6,0,2024
Supplier C,PART-0048,324.03,PO-402668,2024-01-27,2024-02-15,2024-02-18,22,3,0,2024
Supplier A,PART-0053,383.5,PO-402669,2024-04-04,2024-04-28,2024-04-30,26,2,0,2024
Supplier B,PART-0059,76.61,PO-402670,2025-12-20,2025-12-26,2025-12-25,5,-1,1,2025
Supplier C,PART-0089,143.32,PO-402671,2025-07-31,2025-08-06,2025-08-01,1,-5,1,2025
Supplier A,PART-0006,82.52,PO-402672,2025-07-21,2025-07-28,2025-07-28,7,0,1,2025
Supplier C,PART-0005,240.62,PO-402673,2025-04-10,2025-04-29,2025-05-04,24,5,0,2025
Supplier A,PART-0049,236.53,PO-402674,2024-04-04,2024-04-18,2024-04-20,16,2,0,2024
Supplier A,PART-0034,370.09,PO-402675,2025-05-23,2025-06-15,2025-06-17,25,2,0,2025
Supplier A,PART-0020,139.31,PO-402676,2024-12-09,2024-12-16,2024-12-16,7,0,1,2024
Supplier C,PART-0019,270.82,PO-402677,2024-07-21,2024-08-05,2024-08-16,26,11,0,2024
Supplier C,PART-0092,81.9,PO-402678,2024-03-14,2024-03-17,2024-03-15,1,-2,1,2024
Supplier A,PART-0056,231.1,PO-402679,2024-04-06,2024-04-20,2024-05-02,26,12,0,2024
Supplier B,PART-0058,55.9,PO-402680,2025-06-04,2025-06-08,2025-06-07,3,-1,1,2025
Supplier A,PART-0045,353.77,PO-402681,2025-04-03,2025-04-26,2025-05-01,28,5,0,2025
Supplier B,PART-0010,352.75,PO-402682,2024-07-30,2024-08-11,2024-08-13,14,2,0,2024
Supplier B,PART-0088,347.73,PO-402683,2024-11-26,2024-12-09,2024-12-16,20,7,0,2024
Supplier B,PART-0068,340.58,PO-402684,2024-02-02,2024-02-15,2024-02-16,14,1,0,2024
Supplier B,PART-0052,56.5,PO-402685,2024-06-16,2024-06-22,2024-06-17,1,-5,1,2024
Supplier C,PART-0051,213.93,PO-402686,2025-02-07,2025-02-18,2025-03-02,23,12,0,2025
Supplier B,PART-0065,108.76,PO-402687,2025-09-03,2025-09-07,2025-09-04,1,-3,1,2025
Supplier A,PART-0010,73.83,PO-402688,2025-07-02,2025-07-07,2025-07-02,0,-5,1,2025
Supplier A,PART-0069,202.8,PO-402689,2025-10-05,2025-10-17,2025-10-25,20,8,0,2025
Supplier B,PART-0053,73.72,PO-402690,2024-12-14,2024-12-19,2024-12-19,5,0,1,2024
Supplier B,PART-0084,354.0,PO-402691,2024-09-20,2024-10-02,2024-10-16,26,14,0,2024
Supplier B,PART-0046,79.92,PO-402692,2024-03-16,2024-03-21,2024-03-21,5,0,1,2024
Supplier B,PART-0089,354.18,PO-402693,2024-04-24,2024-05-17,2024-05-30,36,13,0,2024
Supplier A,PART-0076,371.17,PO-402694,2024-11-26,2024-12-13,2024-12-15,19,2,0,2024
Supplier B,PART-0034,83.27,PO-402695,2024-08-19,2024-08-23,2024-08-20,1,-3,1,2024
Supplier A,PART-0013,126.94,PO-402696,2024-03-13,2024-03-17,2024-03-17,4,0,1,2024
Supplier B,PART-0005,216.45,PO-402697,2025-08-07,2025-08-27,2025-08-29,22,2,0,2025
Supplier B,PART-0026,304.61,PO-402698,2025-09-26,2025-10-21,2025-10-31,35,10,0,2025
Supplier B,PART-0052,91.62,PO-402699,2024-02-08,2024-02-11,2024-02-10,2,-1,1,2024
Supplier C,PART-0021,206.79,PO-402700,2025-10-14,2025-10-31,2025-11-04,21,4,0,2025
Supplier B,PART-0008,169.36,PO-402701,2024-08-12,2024-09-05,2024-09-13,32,8,0,2024
Supplier B,PART-0023,343.61,PO-402702,2024-06-14,2024-07-02,2024-07-06,22,4,0,2024
Supplier B,PART-0019,350.28,PO-402703,2025-07-26,2025-08-18,2025-08-27,32,9,0,2025
Supplier C,PART-0058,399.59,PO-402704,2025-10-30,2025-11-20,2025-11-27,28,7,0,2025
Supplier C,PART-0073,129.89,PO-402705,2025-10-01,2025-10-07,2025-10-06,5,-1,1,2025
Supplier C,PART-0072,65.65,PO-402706,2024-04-07,2024-04-10,2024-04-07,0,-3,1,2024
Supplier A,PART-0093,275.41,PO-402707,2024-10-27,2024-11-15,2024-11-29,33,14,0,2024
Supplier A,PART-0040,260.15,PO-402708,2024-06-20,2024-06-30,2024-07-15,25,15,0,2024
Supplier A,PART-0041,254.66,PO-402709,2025-07-25,2025-08-08,2025-08-13,19,5,0,2025
Supplier B,PART-0010,319.75,PO-402710,2025-03-17,2025-04-04,2025-04-06,20,2,0,2025
Supplier C,PART-0015,226.3,PO-402711,2024-08-17,2024-08-28,2024-08-31,14,3,0,2024
Supplier B,PART-0010,388.09,PO-402712,2024-05-28,2024-06-20,2024-07-05,38,15,0,2024
Supplier B,PART-0089,318.79,PO-402713,2024-09-19,2024-10-05,2024-10-11,22,6,0,2024
Supplier C,PART-0083,111.84,PO-402714,2024-10-19,2024-10-26,2024-10-25,6,-1,1,2024
Supplier B,PART-0095,268.3,PO-402715,2024-06-02,2024-06-27,2024-07-04,32,7,0,2024
Supplier B,PART-0075,244.7,PO-402716,2024-01-30,2024-02-11,2024-02-25,26,14,0,2024
Supplier C,PART-0078,146.9,PO-402717,2024-11-17,2024-11-24,2024-11-23,6,-1,1,2024
Supplier A,PART-0016,53.0,PO-402718,2025-12-28,2026-01-04,2026-01-02,5,-2,1,2025
Supplier C,PART-0012,238.29,PO-402719,2024-04-15,2024-04-25,2024-04-26,11,1,0,2024
Supplier B,PART-0027,367.55,PO-402720,2025-04-25,2025-05-08,2025-05-21,26,13,0,2025
Supplier B,PART-0016,173.25,PO-402721,2024-04-20,2024-04-30,2024-05-13,23,13,0,2024
Supplier C,PART-0056,353.79,PO-402722,2025-12-11,2025-12-22,2025-12-28,17,6,0,2025
Supplier A,PART-0074,165.66,PO-402723,2024-08-26,2024-09-14,2024-09-16,21,2,0,2024
Supplier B,PART-0002,219.14,PO-402724,2025-11-15,2025-11-28,2025-12-02,17,4,0,2025
Supplier C,PART-0091,122.69,PO-402725,2024-10-21,2024-10-27,2024-10-27,6,0,1,2024
Supplier B,PART-0078,287.2,PO-402726,2025-01-14,2025-02-08,2025-02-14,31,6,0,2025
Supplier C,PART-0060,253.07,PO-402727,2025-09-27,2025-10-07,2025-10-22,25,15,0,2025
Supplier B,PART-0095,397.6,PO-402728,2024-11-10,2024-12-02,2024-12-06,26,4,0,2024
Supplier C,PART-0065,343.02,PO-402729,2024-05-29,2024-06-09,2024-06-21,23,12,0,2024
Supplier C,PART-0053,366.72,PO-402730,2025-06-17,2025-06-29,2025-07-01,14,2,0,2025
Supplier A,PART-0050,372.5,PO-402731,2025-09-26,2025-10-19,2025-10-27,31,8,0,2025
Supplier B,PART-0012,319.68,PO-402732,2024-11-07,2024-11-25,2024-12-01,24,6,0,2024
Supplier C,PART-0004,216.62,PO-402733,2025-08-01,2025-08-16,2025-08-22,21,6,0,2025
Supplier B,PART-0049,132.53,PO-402734,2025-06-18,2025-06-23,2025-06-23,5,0,1,2025
Supplier C,PART-0024,266.14,PO-402735,2025-06-14,2025-06-28,2025-07-03,19,5,0,2025
Supplier A,PART-0009,110.01,PO-402736,2024-07-03,2024-07-07,2024-07-06,3,-1,1,2024
Supplier A,PART-0053,164.64,PO-402737,2024-12-23,2025-01-07,2025-01-11,19,4,0,2024
Supplier C,PART-0090,127.62,PO-402738,2025-10-14,2025-10-18,2025-10-14,0,-4,1,2025
Supplier A,PART-0012,122.88,PO-402739,2025-02-24,2025-02-27,2025-02-24,0,-3,1,2025
Supplier C,PART-0068,82.64,PO-402740,2024-03-09,2024-03-12,2024-03-10,1,-2,1,2024
Supplier B,PART-0084,295.08,PO-402741,2024-08-21,2024-09-04,2024-09-09,19,5,0,2024
Supplier B,PART-0026,380.22,PO-402742,2024-10-04,2024-10-27,2024-11-02,29,6,0,2024
Supplier C,PART-0094,93.36,PO-402743,2024-03-15,2024-03-18,2024-03-17,2,-1,1,2024
Supplier A,PART-0051,183.08,PO-402744,2024-01-30,2024-02-14,2024-02-27,28,13,0,2024
Supplier A,PART-0003,58.45,PO-402745,2024-06-24,2024-06-30,2024-06-26,2,-4,1,2024
Supplier A,PART-0068,258.62,PO-402746,2024-04-25,2024-05-14,2024-05-15,20,1,0,2024
Supplier C,PART-0034,379.7,PO-402747,2024-01-09,2024-01-19,2024-01-21,12,2,0,2024
Supplier B,PART-0053,87.91,PO-402748,2024-03-12,2024-03-15,2024-03-11,-1,-4,1,2024
Supplier C,PART-0056,332.98,PO-402749,2024-09-18,2024-10-03,2024-10-13,25,10,0,2024
Supplier B,PART-0056,66.44,PO-402750,2024-08-24,2024-08-28,2024-08-23,-1,-5,1,2024
Supplier B,PART-0052,126.72,PO-402751,2025-08-22,2025-08-26,2025-08-21,-1,-5,1,2025
Supplier C,PART-0013,247.03,PO-402752,2025-08-04,2025-08-28,2025-09-11,38,14,0,2025
Supplier A,PART-0039,257.21,PO-402753,2024-01-20,2024-02-08,2024-02-18,29,10,0,2024
Supplier C,PART-0035,222.69,PO-402754,2024-08-11,2024-08-27,2024-09-01,21,5,0,2024
Supplier B,PART-0057,126.09,PO-402755,2024-08-25,2024-08-31,2024-08-31,6,0,1,2024
Supplier A,PART-0098,381.38,PO-402756,2024-07-16,2024-07-30,2024-08-08,23,9,0,2024
Supplier B,PART-0093,306.84,PO-402757,2025-08-12,2025-09-02,2025-09-05,24,3,0,2025
Supplier B,PART-0058,102.94,PO-402758,2024-07-01,2024-07-08,2024-07-07,6,-1,1,2024
Supplier B,PART-0049,72.81,PO-402759,2024-08-18,2024-08-22,2024-08-20,2,-2,1,2024
Supplier B,PART-0060,117.72,PO-402760,2025-11-17,2025-11-24,2025-11-21,4,-3,1,2025
Supplier A,PART-0014,60.23,PO-402761,2024-08-26,2024-08-31,2024-08-27,1,-4,1,2024
Supplier C,PART-0051,269.18,PO-402762,2024-11-18,2024-12-11,2024-12-14,26,3,0,2024
Supplier B,PART-0042,93.75,PO-402763,2025-11-22,2025-11-26,2025-11-24,2,-2,1,2025
Supplier A,PART-0067,194.72,PO-402764,2025-10-05,2025-10-28,2025-10-30,25,2,0,2025
Supplier C,PART-0041,376.41,PO-402765,2024-10-06,2024-10-22,2024-10-23,17,1,0,2024
Supplier C,PART-0040,263.25,PO-402766,2024-04-29,2024-05-20,2024-05-24,25,4,0,2024
Supplier C,PART-0024,305.41,PO-402767,2025-06-20,2025-07-02,2025-07-12,22,10,0,2025
Supplier C,PART-0092,127.28,PO-402768,2025-02-05,2025-02-08,2025-02-05,0,-3,1,2025
Supplier B,PART-0059,70.0,PO-402769,2024-07-22,2024-07-25,2024-07-25,3,0,1,2024
Supplier C,PART-0067,57.66,PO-402770,2025-09-08,2025-09-12,2025-09-12,4,0,1,2025
Supplier C,PART-0069,74.12,PO-402771,2024-06-07,2024-06-10,2024-06-10,3,0,1,2024
Supplier A,PART-0017,88.5,PO-402772,2024-01-27,2024-01-30,2024-01-28,1,-2,1,2024
Supplier C,PART-0066,242.91,PO-402773,2024-12-05,2024-12-18,2025-01-01,27,14,0,2024
Supplier A,PART-0056,345.1,PO-402774,2024-08-04,2024-08-14,2024-08-23,19,9,0,2024
Supplier C,PART-0061,260.43,PO-402775,2025-09-28,2025-10-18,2025-10-24,26,6,0,2025
Supplier A,PART-0051,241.03,PO-402776,2024-07-06,2024-07-17,2024-07-30,24,13,0,2024
Supplier C,PART-0024,291.18,PO-402777,2024-05-13,2024-06-02,2024-06-10,28,8,0,2024
Supplier B,PART-0013,317.52,PO-402778,2025-08-31,2025-09-14,2025-09-25,25,11,0,2025
Supplier B,PART-0005,358.21,PO-402779,2024-10-01,2024-10-26,2024-10-31,30,5,0,2024
Supplier B,PART-0027,256.14,PO-402780,2025-06-03,2025-06-26,2025-07-04,31,8,0,2025
Supplier A,PART-0077,301.7,PO-402781,2025-03-29,2025-04-09,2025-04-20,22,11,0,2025
Supplier A,PART-0075,340.37,PO-402782,2024-02-13,2024-02-29,2024-03-10,26,10,0,2024
Supplier C,PART-0051,211.98,PO-402783,2024-06-19,2024-06-29,2024-07-01,12,2,0,2024
Supplier B,PART-0060,149.16,PO-402784,2025-12-05,2025-12-11,2025-12-08,3,-3,1,2025
Supplier B,PART-0048,144.42,PO-402785,2025-05-31,2025-06-07,2025-06-03,3,-4,1,2025
Supplier C,PART-0086,148.43,PO-402786,2024-12-27,2024-12-30,2024-12-30,3,0,1,2024
Supplier A,PART-0022,68.79,PO-402787,2024-08-24,2024-08-29,2024-08-25,1,-4,1,2024
Supplier C,PART-0088,76.07,PO-402788,2024-01-23,2024-01-28,2024-01-25,2,-3,1,2024
Supplier A,PART-0026,108.09,PO-402789,2024-05-15,2024-05-21,2024-05-16,1,-5,1,2024
Supplier B,PART-0055,66.5,PO-402790,2025-10-24,2025-10-30,2025-10-25,1,-5,1,2025
Supplier A,PART-0070,166.65,PO-402791,2024-12-07,2024-12-24,2024-12-31,24,7,0,2024
Supplier B,PART-0035,115.65,PO-402792,2024-08-29,2024-09-02,2024-08-29,0,-4,1,2024
Supplier C,PART-0062,277.21,PO-402793,2025-07-26,2025-08-07,2025-08-12,17,5,0,2025
Supplier B,PART-0009,250.78,PO-402794,2024-11-10,2024-11-24,2024-12-09,29,15,0,2024
Supplier A,PART-0005,142.49,PO-402795,2024-12-03,2024-12-10,2024-12-05,2,-5,1,2024
Supplier C,PART-0026,284.24,PO-402796,2025-09-07,2025-09-27,2025-09-30,23,3,0,2025
Supplier B,PART-0066,89.13,PO-402797,2025-02-02,2025-02-05,2025-02-03,1,-2,1,2025
Supplier C,PART-0050,235.0,PO-402798,2025-08-15,2025-08-29,2025-09-06,22,8,0,2025
Supplier A,PART-0063,275.86,PO-402799,2024-11-15,2024-12-06,2024-12-12,27,6,0,2024
Supplier C,PART-0024,310.81,PO-402800,2025-06-14,2025-06-25,2025-06-30,16,5,0,2025
Supplier A,PART-0034,287.67,PO-402801,2025-11-25,2025-12-06,2025-12-15,20,9,0,2025
Supplier C,PART-0048,250.39,PO-402802,2024-12-19,2024-12-29,2025-01-10,22,12,0,2024
Supplier C,PART-0089,118.97,PO-402803,2025-01-04,2025-01-08,2025-01-07,3,-1,1,2025
Supplier B,PART-0075,355.55,PO-402804,2024-10-16,2024-11-01,2024-11-04,19,3,0,2024
Supplier A,PART-0019,96.15,PO-402805,2025-05-11,2025-05-18,2025-05-17,6,-1,1,2025
Supplier B,PART-0030,280.61,PO-402806,2025-10-28,2025-11-12,2025-11-22,25,10,0,2025
Supplier C,PART-0092,111.77,PO-402807,2024-07-26,2024-07-30,2024-07-28,2,-2,1,2024
Supplier C,PART-0021,337.69,PO-402808,2024-09-29,2024-10-18,2024-10-27,28,9,0,2024
Supplier B,PART-0024,343.16,PO-402809,2025-05-25,2025-06-15,2025-06-25,31,10,0,2025
Supplier A,PART-0090,300.26,PO-402810,2024-06-05,2024-06-16,2024-06-24,19,8,0,2024
Supplier B,PART-0012,383.21,PO-402811,2025-02-25,2025-03-20,2025-03-23,26,3,0,2025
Supplier B,PART-0056,68.04,PO-402812,2025-09-22,2025-09-26,2025-09-26,4,0,1,2025
Supplier A,PART-0004,148.57,PO-402813,2025-11-08,2025-11-12,2025-11-12,4,0,1,2025
Supplier B,PART-0047,117.15,PO-402814,2025-12-01,2025-12-08,2025-12-05,4,-3,1,2025
Supplier B,PART-0060,69.04,PO-402815,2024-03-29,2024-04-01,2024-03-31,2,-1,1,2024
Supplier C,PART-0001,209.63,PO-402816,2025-12-20,2025-12-30,2026-01-01,12,2,0,2025
Supplier C,PART-0038,288.57,PO-402817,2024-07-10,2024-08-03,2024-08-17,38,14,0,2024
Supplier C,PART-0001,280.85,PO-402818,2024-06-09,2024-06-29,2024-07-11,32,12,0,2024
Supplier A,PART-0056,219.34,PO-402819,2024-01-12,2024-02-04,2024-02-16,35,12,0,2024
Supplier B,PART-0054,130.37,PO-402820,2024-04-25,2024-04-28,2024-04-26,1,-2,1,2024
Supplier A,PART-0002,143.33,PO-402821,2024-09-05,2024-09-08,2024-09-03,-2,-5,1,2024
Supplier B,PART-0004,332.1,PO-402822,2025-12-15,2026-01-07,2026-01-21,37,14,0,2025
Supplier A,PART-0082,217.0,PO-402823,2025-04-05,2025-04-27,2025-05-08,33,11,0,2025
Supplier B,PART-0003,234.17,PO-402824,2025-10-29,2025-11-19,2025-11-30,32,11,0,2025
Supplier C,PART-0059,246.25,PO-402825,2024-11-24,2024-12-17,2024-12-20,26,3,0,2024
Supplier A,PART-0021,140.5,PO-402826,2024-02-04,2024-02-10,2024-02-05,1,-5,1,2024
Supplier C,PART-0056,396.46,PO-402827,2025-04-06,2025-04-18,2025-04-25,19,7,0,2025
Supplier A,PART-0003,98.04,PO-402828,2025-05-26,2025-05-30,2025-05-28,2,-2,1,2025
Supplier A,PART-0100,345.83,PO-402829,2025-02-13,2025-03-05,2025-03-06,21,1,0,2025
Supplier C,PART-0058,223.18,PO-402830,2025-10-19,2025-11-11,2025-11-23,35,12,0,2025
Supplier B,PART-0086,225.37,PO-402831,2024-06-17,2024-06-28,2024-07-04,17,6,0,2024
Supplier A,PART-0086,185.36,PO-402832,2024-03-17,2024-03-30,2024-04-12,26,13,0,2024
Supplier C,PART-0082,104.62,PO-402833,2024-12-25,2024-12-28,2024-12-24,-1,-4,1,2024
Supplier C,PART-0075,52.47,PO-402834,2025-06-19,2025-06-25,2025-06-24,5,-1,1,2025
Supplier B,PART-0059,114.73,PO-402835,2025-04-18,2025-04-25,2025-04-25,7,0,1,2025
Supplier B,PART-0062,94.93,PO-402836,2025-11-06,2025-11-11,2025-11-07,1,-4,1,2025
Supplier A,PART-0056,256.24,PO-402837,2024-07-29,2024-08-21,2024-08-31,33,10,0,2024
Supplier A,PART-0089,170.01,PO-402838,2024-07-09,2024-07-19,2024-07-29,20,10,0,2024
Supplier B,PART-0027,316.62,PO-402839,2025-04-30,2025-05-12,2025-05-15,15,3,0,2025
Supplier B,PART-0005,353.36,PO-402840,2024-03-05,2024-03-18,2024-03-31,26,13,0,2024
Supplier C,PART-0029,173.43,PO-402841,2024-01-29,2024-02-23,2024-03-02,33,8,0,2024
Supplier C,PART-0044,275.4,PO-402842,2024-03-16,2024-03-29,2024-04-03,18,5,0,2024
Supplier C,PART-0078,87.25,PO-402843,2025-08-24,2025-08-31,2025-08-27,3,-4,1,2025
Supplier A,PART-0024,109.38,PO-402844,2025-09-17,2025-09-20,2025-09-16,-1,-4,1,2025
Supplier B,PART-0014,194.72,PO-402845,2024-02-07,2024-02-26,2024-03-08,30,11,0,2024
Supplier A,PART-0082,161.75,PO-402846,2025-07-15,2025-07-28,2025-08-02,18,5,0,2025
Supplier A,PART-0034,336.25,PO-402847,2025-04-29,2025-05-17,2025-05-27,28,10,0,2025
Supplier A,PART-0026,133.73,PO-402848,2024-09-15,2024-09-20,2024-09-18,3,-2,1,2024
Supplier C,PART-0050,365.63,PO-402849,2025-04-29,2025-05-14,2025-05-20,21,6,0,2025
Supplier C,PART-0013,273.77,PO-402850,2025-11-21,2025-12-07,2025-12-12,21,5,0,2025
Supplier C,PART-0049,223.72,PO-402851,2025-02-27,2025-03-18,2025-03-22,23,4,0,2025
Supplier A,PART-0002,64.0,PO-402852,2025-03-02,2025-03-05,2025-03-01,-1,-4,1,2025
Supplier B,PART-0021,239.05,PO-402853,2024-08-30,2024-09-16,2024-10-01,32,15,0,2024
Supplier B,PART-0063,139.83,PO-402854,2025-02-04,2025-02-07,2025-02-07,3,0,1,2025
Supplier B,PART-0058,69.94,PO-402855,2025-01-06,2025-01-13,2025-01-13,7,0,1,2025
Supplier B,PART-0010,348.18,PO-402856,2025-10-12,2025-10-26,2025-11-04,23,9,0,2025
Supplier A,PART-0034,331.55,PO-402857,2025-11-10,2025-11-22,2025-11-29,19,7,0,2025
Supplier C,PART-0074,146.1,PO-402858,2025-07-25,2025-08-01,2025-07-28,3,-4,1,2025
Supplier C,PART-0066,381.9,PO-402859,2024-07-05,2024-07-27,2024-07-28,23,1,0,2024
Supplier C,PART-0020,367.45,PO-402860,2025-02-08,2025-02-18,2025-03-05,25,15,0,2025
Supplier C,PART-0022,182.09,PO-402861,2025-03-17,2025-04-03,2025-04-09,23,6,0,2025
Supplier C,PART-0096,130.73,PO-402862,2024-11-05,2024-11-12,2024-11-10,5,-2,1,2024
Supplier B,PART-0023,166.67,PO-402863,2025-07-15,2025-08-08,2025-08-19,35,11,0,2025
Supplier A,PART-0030,123.83,PO-402864,2024-02-15,2024-02-19,2024-02-17,2,-2,1,2024
Supplier B,PART-0039,78.81,PO-402865,2024-11-27,2024-12-01,2024-11-29,2,-2,1,2024
Supplier C,PART-0045,392.73,PO-402866,2024-10-05,2024-10-27,2024-11-08,34,12,0,2024
Supplier C,PART-0049,339.97,PO-402867,2024-10-15,2024-10-26,2024-10-31,16,5,0,2024
Supplier C,PART-0088,85.62,PO-402868,2024-11-18,2024-11-25,2024-11-21,3,-4,1,2024
Supplier A,PART-0067,179.89,PO-402869,2024-08-19,2024-09-07,2024-09-10,22,3,0,2024
Supplier B,PART-0074,268.9,PO-402870,2024-01-04,2024-01-27,2024-02-09,36,13,0,2024
Supplier A,PART-0099,242.51,PO-402871,2024-04-22,2024-05-04,2024-05-07,15,3,0,2024
Supplier B,PART-0095,234.45,PO-402872,2025-10-21,2025-11-15,2025-11-29,39,14,0,2025
Supplier B,PART-0008,268.37,PO-402873,2025-01-30,2025-02-24,2025-03-04,33,8,0,2025
Supplier C,PART-0008,249.36,PO-402874,2025-10-01,2025-10-14,2025-10-27,26,13,0,2025
Supplier A,PART-0087,387.11,PO-402875,2025-12-11,2025-12-21,2025-12-26,15,5,0,2025
Supplier C,PART-0040,321.59,PO-402876,2024-12-18,2025-01-02,2025-01-08,21,6,0,2024
Supplier B,PART-0093,169.46,PO-402877,2025-04-29,2025-05-21,2025-05-22,23,1,0,2025
Supplier B,PART-0098,210.58,PO-402878,2024-11-10,2024-11-30,2024-12-09,29,9,0,2024
Supplier C,PART-0009,174.52,PO-402879,2025-06-11,2025-06-29,2025-07-10,29,11,0,2025
Supplier C,PART-0098,114.41,PO-402880,2024-04-02,2024-04-09,2024-04-08,6,-1,1,2024
Supplier B,PART-0057,81.24,PO-402881,2025-12-03,2025-12-09,2025-12-09,6,0,1,2025
Supplier B,PART-0019,325.18,PO-402882,2024-01-21,2024-02-05,2024-02-08,18,3,0,2024
Supplier B,PART-0054,125.04,PO-402883,2024-06-03,2024-06-06,2024-06-05,2,-1,1,2024
Supplier B,PART-0029,187.96,PO-402884,2025-09-29,2025-10-13,2025-10-16,17,3,0,2025
Supplier B,PART-0072,195.74,PO-402885,2025-08-24,2025-09-12,2025-09-19,26,7,0,2025
Supplier A,PART-0055,185.2,PO-402886,2025-06-08,2025-07-01,2025-07-02,24,1,0,2025
Supplier C,PART-0044,184.72,PO-402887,2024-09-18,2024-10-03,2024-10-06,18,3,0,2024
Supplier B,PART-0015,365.89,PO-402888,2025-11-13,2025-12-07,2025-12-10,27,3,0,2025
Supplier B,PART-0067,350.03,PO-402889,2025-09-30,2025-10-22,2025-11-03,34,12,0,2025
Supplier B,PART-0076,218.94,PO-402890,2024-11-27,2024-12-11,2024-12-12,15,1,0,2024
Supplier A,PART-0073,389.74,PO-402891,2025-01-12,2025-01-25,2025-01-26,14,1,0,2025
Supplier A,PART-0022,106.93,PO-402892,2025-11-29,2025-12-04,2025-12-02,3,-2,1,2025
Supplier C,PART-0081,60.45,PO-402893,2024-10-28,2024-11-02,2024-11-02,5,0,1,2024
Supplier C,PART-0043,273.05,PO-402894,2024-09-30,2024-10-23,2024-10-24,24,1,0,2024
Supplier A,PART-0064,168.75,PO-402895,2024-07-10,2024-07-28,2024-07-31,21,3,0,2024
Supplier B,PART-0019,186.8,PO-402896,2025-05-02,2025-05-23,2025-06-04,33,12,0,2025
Supplier B,PART-0010,257.27,PO-402897,2024-09-12,2024-10-07,2024-10-15,33,8,0,2024
Supplier C,PART-0038,397.03,PO-402898,2024-04-07,2024-04-18,2024-04-29,22,11,0,2024
Supplier C,PART-0020,228.11,PO-402899,2024-11-09,2024-11-25,2024-12-04,25,9,0,2024
Supplier A,PART-0099,199.57,PO-402900,2024-07-25,2024-08-15,2024-08-24,30,9,0,2024
Supplier A,PART-0045,227.9,PO-402901,2025-06-27,2025-07-20,2025-08-02,36,13,0,2025
Supplier C,PART-0070,90.55,PO-402902,2025-03-08,2025-03-11,2025-03-09,1,-2,1,2025
Supplier A,PART-0037,289.76,PO-402903,2024-12-21,2025-01-14,2025-01-28,38,14,0,2024
Supplier B,PART-0078,329.91,PO-402904,2025-06-26,2025-07-18,2025-07-25,29,7,0,2025
Supplier C,PART-0006,308.37,PO-402905,2024-11-01,2024-11-20,2024-12-02,31,12,0,2024
Supplier B,PART-0006,300.98,PO-402906,2024-06-05,2024-06-18,2024-06-30,25,12,0,2024
Supplier A,PART-0016,124.21,PO-402907,2024-09-01,2024-09-04,2024-08-31,-1,-4,1,2024
Supplier C,PART-0057,342.75,PO-402908,2024-02-07,2024-02-17,2024-02-28,21,11,0,2024
Supplier B,PART-0026,257.28,PO-402909,2024-12-21,2025-01-12,2025-01-26,36,14,0,2024
Supplier C,PART-0028,204.39,PO-402910,2024-09-03,2024-09-26,2024-09-30,27,4,0,2024
Supplier B,PART-0008,185.23,PO-402911,2024-02-18,2024-03-06,2024-03-12,23,6,0,2024
Supplier B,PART-0018,375.88,PO-402912,2025-06-04,2025-06-21,2025-06-22,18,1,0,2025
Supplier A,PART-0052,210.73,PO-402913,2025-08-05,2025-08-19,2025-08-21,16,2,0,2025
Supplier C,PART-0060,216.02,PO-402914,2024-03-24,2024-04-15,2024-04-21,28,6,0,2024
